link_id,road_nm,start_nd_cd,start_nd_nm,start_lng,start_lat,end_nd_cd,end_nd_nm,end_lng,end_lat,dist,xy_list,h3_index
1130002903,신촌로,1130027300,신촌로터리,126.9368615026356,37.5551929933882,1130027800,신촌로터리,126.93620787959907,37.55529188513532,60.0,126.9362078795990669_37.5552918851352473|126.9362843096010209_37.5552643504737276|126.9364926549409489_37.5552010586219964|126.9366443811309324_37.5551666346300124|126.9367611234709443_37.5551466049687548|126.9368547916011067_37.5551391984437757,8930e1d80c7ffff
1130003002,신촌로,1130028300,신촌현대백화점,126.93518719196166,37.55571892645729,1130028200,신촌로터리,126.93626386958401,37.55539038899482,102.0,126.9362638695840104_37.5553903889948089|126.9352151858570181_37.5557681786281989,8930e1d80c7ffff
1130003003,신촌로,1130028200,신촌로터리,126.93626386958401,37.55539038899482,1130027300,신촌로터리,126.9368615026356,37.5551929933882,56.0,126.9368682136796167_37.5552467883316865|126.9367822077433345_37.5552535889944465|126.9366773331614553_37.5552715833811135|126.9365355543422140_37.5553037503571261|126.9363365592773363_37.5553642010740631|126.9362638695840104_37.5553903889948089,8930e1d80c7ffff
1130003101,신촌로,1130027300,신촌로터리,126.9368615026356,37.5551929933882,1130028100,신촌로터리,126.93751078285572,37.555321538135914,58.0,126.9375107828556679_37.5553215381359067|126.9374120463708664_37.5552954695353094|126.9372367545836511_37.5552633433213288|126.9370612427232459_37.5552495051776276|126.9368604588445919_37.5552470472762749,8930e1d80c7ffff
1130003201,신촌로,1130027600,신촌로터리,126.93755353137226,37.55521891460856,1130027300,신촌로터리,126.9368615026356,37.5551929933882,62.0,126.9368625464241802_37.5551389404005036|126.9370689919941668_37.5551414670887596|126.9372587703670519_37.5551564300398013|126.9374487359331596_37.5551912462659345|126.9375535313721741_37.5552189146084956,8930e1d8013ffff
1130014902,백범로,1130026200,신촌로터리,126.93687309004261,37.55454809524075,1130027300,신촌로터리,126.9368615026356,37.5551929933882,71.0,126.9367939258792717_37.5551876954070494|126.9368730900426101_37.5545480952406976,8930e1d80c7ffff
1130015002,백범로,1130027300,신촌로터리,126.9368615026356,37.5551929933882,1130026300,신촌로터리,126.93700765396186,37.554562683080455,71.0,126.9370076539618282_37.5545626830804267|126.9369290794014660_37.5551982913306190,8930e1d80c7ffff
1130016102,서강로,1130026900,신촌로터리,126.93624696984563,37.55473362292799,1130027300,신촌로터리,126.9368615026356,37.5551929933882,74.0,126.9368040905151815_37.5552218612686133|126.9366482286148994_37.5550253909116165|126.9363557341915083_37.5548026529712615|126.9362469698456266_37.5547336229279622,8930e1d80c7ffff
1130016202,서강로,1130027300,신촌로터리,126.9368615026356,37.5551929933882,1130026700,신촌로터리,126.93632979089269,37.554647954813454,78.0,126.9363297908926143_37.5546479548134471|126.9364451665790341_37.5547211401372962|126.9367541497696266_37.5549564339847848|126.9369189147109864_37.5551641263806175,8930e1d80c7ffff
1130053700,신촌로,1130027600,신촌로터리,126.93755353137226,37.55521891460856,1130026300,신촌로터리,126.93700765396186,37.554562683080455,87.0,126.9370076539618566_37.5545626830804551|126.9375535313722594_37.5552189146085595,8930e1d8013ffff
